"","X1","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","event_count.kernel","event_count.sessions","event_count.services","apdex_s","apdex_t","apdex_f","apdex_score","cpm.db","duration.db","cpm.external","duration.external","length","error_pct","bg_pct","cpm.Other","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute.x","cpm.OtherTransaction/NettyDispatcher/NettyDispatcher.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute.x","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute.y","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute.y","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute.y","cpm.OtherTransaction/NettyDispatcher/NettyDispatcher.y","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.BatchStatement/execute","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.SelectStatement/execute","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UpdateStatement/execute","duration.OtherTransaction/NettyDispatcher/NettyDispatcher","cpm.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute.y","duration.OtherTransaction/Custom/org.apache.cassandra.cql3.statements.UseStatement/execute","queue_duration","deploys","stl_rpm","stl_duration","stl_apdex_score","stl_error_pct"
"1",1,"BST-Cassandra",2017-09-27 17:00:00,2017-09-27 17:10:00,3684491,0.00019733452240513,0,59739.471872,66.7643737792969,7.94924182891846,1.98173010349274,0,0.184470438957214,2.57531063556671,0.720555621385574,6.06025071144104,1167092.59375,0,0,0,0,0,3642933,34685,6873,0.990000009536743,0,0,0,0,0,0,100,368449.1,18.4,316,162668,205446.7,0,18.4,316,162668,205446.7,0.0755902476141304,0.00193016105253165,0.000415922318172597,1.48441619062268e-05,0,0,0,0,13430.5967705953,-3.85920302588537e-06,4.44089209850063e-16,0
"2",2,"BST-Cassandra",2017-09-27 17:10:00,2017-09-27 17:20:00,3580773,0.000196871416202591,0,59733.049344,66.718994140625,7.97551231384277,1.9343030333519,0,0.176165264844894,2.55408327579498,0.815559881925583,6.42429628372192,1156324.21153846,0,0,0,0,0,3539736,34777,6260,0.990000009536743,0,0,0,0,0,0,100,358077.3,26.9,445.8,159198.2,198406.4,0,26.9,445.8,159198.2,198406.4,0.0525999380892193,0.00203151448631673,0.000410748023392224,1.40330739875327e-05,0,0,0,0,-59766.2615239378,-3.83561746359755e-07,2.22044604925031e-16,0
"3",3,"BST-Cassandra",2017-09-27 17:20:00,2017-09-27 17:30:00,3598358,0.000204360360374927,0,59760.340992,66.7433090209961,7.66960916519165,1.89121438264847,0,0.158336978405714,2.15113487243652,0.700419068336487,5.73105068206787,1164316.41105769,0,0,0,0,0,3555245,34706,8407,0.990000009536743,0,0,0,0,0,0,100,359835.8,40.6,451.3,158669.8,200674.1,0,40.6,451.3,158669.8,200674.1,0.0535295130172414,0.00203063394349657,0.000426404139412163,1.38981110013699e-05,0,0,0,0,-7701.42663739668,8.43014125080651e-06,0,0
"4",4,"BST-Cassandra",2017-09-27 17:30:00,2017-09-27 17:40:00,3661083,0.000199738098548981,0,59719.51616,66.7580871582031,7.8842945098877,1.95413836240768,0,0.180835644900799,2.34541285037994,0.749739927053451,6.26454019546509,1141066.00721154,0,0,0,0,0,3617026,37265,6792,0.990000009536743,0,0,0,0,0,0,100,366108.3,28,355.6,161941.7,203783,0,28,355.6,161941.7,203783,0.0591496109464286,0.00177937203262092,0.000419084047920332,1.45726519905978e-05,0,0,0,0,74988.7472664262,-1.07694818070623e-06,-3.33066907387547e-16,0
"5",5,"BST-Cassandra",2017-09-27 17:40:00,2017-09-27 17:50:00,3583500,0.000195279042757081,0,59694.452736,66.8096389770508,8.03165597915649,1.94374666213989,0,0.159649112820625,2.31213335990906,0.741851484775543,6.03510427474976,1148178.98557692,0,0,0,0,0,3542319,34695,6486,0.990000009536743,0,0,0,0,0,0,100,358350,22.4,405.2,158738.3,199184.1,0,22.4,405.2,158738.3,199184.1,0.0588104007455357,0.00202426582354393,0.000410287177590411,1.36174042059582e-05,0,0,0,0,11960.8463581777,-1.88724542072452e-06,-2.22044604925031e-16,0
"6",6,"BST-Cassandra",2017-09-27 17:50:00,2017-09-27 18:00:00,3603253,0.000204982873437141,0,59695.706112,66.7516632080078,7.88429880142212,1.87326784133911,0,0.145534352958202,2.36089396476746,0.729743826389313,5.65457372665405,1147169.20192308,0,0,0,0,0,3553820,41341,8092,0.990000009536743,0,0,0,0,0,0,100,360325.3,22.7,374.9,159423.8,200503.9,0,22.7,374.9,159423.8,200503.9,0.0771012492026432,0.00280538814403841,0.000427690314281807,1.43366880544468e-05,0,0,0,0,29940.623442627,2.09494245892168e-06,-1.11022302462516e-16,0
"7",7,"BST-Cassandra",2017-09-27 18:00:00,2017-09-27 18:10:00,3496462,0.000194853257375313,0,59669.082112,66.7343215942383,7.50380458831787,1.88631372451782,0,0.150160597264767,3.28040010929108,0.688515084981918,5.74890489578247,1128216.72355769,0,0,0,0,0,3454210,36052,6200,0.990000009536743,0,0,0,0,0,0,100,349646.2,21.7,474.7,155490.6,193659.2,0,21.7,474.7,155490.6,193659.2,0.0599637736221198,0.00193206427575311,0.000406340208015147,1.40930740765221e-05,0,0,0,0,-32548.7766667032,-2.25972060516384e-06,0,0
"8",8,"BST-Cassandra",2017-09-27 18:10:00,2017-09-27 18:20:00,3532196,0.000195199392712069,0,59629.027328,66.71923828125,8.17688159942627,1.8852229475975,0,0.17060080319643,2.49887797832489,0.794596427679062,6.27864851951599,1127943.85336538,0,0,0,0,0,3488423,37014,6759,0.990000009536743,0,0,0,0,0,0,100,353219.6,13.1,395.1,155787.3,197024.1,0,13.1,395.1,155787.3,197024.1,0.0634306494885496,0.0024397056864085,0.000414081454140999,1.34234871180734e-05,0,0,0,0,10685.421690247,-2.60347321507943e-06,-1.11022302462516e-16,0
"9",9,"BST-Cassandra",2017-09-27 18:20:00,2017-09-27 18:30:00,3562329,0.000198751309773746,0,59788.713984,66.7334899902344,7.66761741638184,1.91402893066406,0,0.16733656078577,2.21198334693909,0.788686919212341,6.0692177772522,1131409.54086538,0,0,0,0,0,3519158,36612,6559,0.990000009536743,0,0,0,0,0,0,100,356232.9,44.9,416.1,159908.6,195863.3,0,44.9,416.1,159908.6,195863.3,0.0607060882895323,0.00197480364792117,0.000403811265048909,1.36903760898545e-05,0,0,0,0,23795.3424818884,2.45875810211336e-06,0,0
"10",10,"BST-Cassandra",2017-09-27 18:30:00,2017-09-27 18:40:00,3441982,0.000197602866197441,0,59784.380416,66.8283004760742,7.72539873123169,1.84948816299438,0,0.136014029383659,2.53629603385925,0.649638390541077,5.37462253570557,1113103.71634615,0,0,0,0,0,3401678,33886,6418,0.990000009536743,0,0,0,0,0,0,100,344198.2,25.8,376,153203.7,190592.7,0,25.8,376,153203.7,190592.7,0.0439601495968992,0.00225620438643617,0.000413096031915678,1.43982723698232e-05,0,0,0,0,-113524.122462448,4.48439599481064e-07,0,0
"11",11,"BST-Cassandra",2017-09-27 18:40:00,2017-09-27 18:50:00,3469858,0.000191764757014264,0,59779.330048,66.7878189086914,7.72681756019592,1.86538418531418,0,0.146814896166325,2.38656516075134,0.703044664859772,5.2447078704834,1117848.44951923,0,0,0,0,0,3430887,33316,5655,0.990000009536743,0,0,0,0,0,0,100,346985.8,17.6,372,153724,192872.2,0,17.6,372,153724,192872.2,0.0764240290454545,0.00192376150026882,0.000402868882711873,1.32125278246424e-05,0,0,0,0,-7739.75884246361,-5.105127641836e-06,0,0
"12",12,"BST-Cassandra",2017-09-27 18:50:00,2017-09-27 19:00:00,3453559,0.000196934980946033,0,59737.165824,66.7406539916992,7.70977292060852,1.8679195523262,0,0.158891119807959,2.30908172130585,0.692549428343773,5.55802927017212,1114477.37980769,0,0,0,0,0,3410854,36680,6025,0.990000009536743,0,0,0,0,0,0,100,345355.9,8.8,467.7,152426.9,192452.5,0,8.8,467.7,152426.9,192452.5,0.0458064727272727,0.00220679369531751,0.000415829739507922,1.65952902342136e-05,0,0,0,0,8500.27314251196,8.77600582270668e-07,1.11022302462516e-16,0
"13",13,"BST-Cassandra",2017-09-27 19:00:00,2017-09-27 19:10:00,3459045,0.000200324598337402,0,59717.8368,66.7171173095703,7.3347752571106,1.8754133105278,0,0.152961114048958,2.12201669216156,0.623038023710251,5.82489833831787,1110136.08173077,0,0,0,0,0,3414926,38317,5802,0.990000009536743,0,0,0,0,0,0,100,345904.5,39,442.8,152796.2,192626.5,0,39,442.8,152796.2,192626.5,0.0718208784435897,0.00222203276603433,0.000409095494390567,1.55742469364288e-05,0,0,0,0,15388.9506655675,1.9054038003899e-06,-1.11022302462516e-16,0
"14",14,"BST-Cassandra",2017-09-27 19:10:00,2017-09-27 19:20:00,3444343,0.000197076940357566,0,59732.488192,66.7235260009766,7.59329881668091,1.86317578554153,0,0.143707057833672,2.2371075630188,0.618087592720985,5.44947752952576,1118106.62259615,0,0,0,0,0,3403208,34495,6640,0.990000009536743,0,0,0,0,0,0,100,344434.3,26,383.6,152575,191449.7,0,26,383.6,152575,191449.7,0.0485567571230769,0.00197013187200209,0.000414730737575618,1.34985713808901e-05,0,0,0,0,27276.2791491942,2.31055007682271e-06,0,0
"15",15,"BST-Cassandra",2017-09-27 19:20:00,2017-09-27 19:30:00,3381501,0.000190041505773915,0,59717.103616,66.788215637207,7.98160152435303,1.93168162107468,0,0.187499234825373,2.3261803150177,0.962880951166153,6.49835410118103,1096694.69230769,0,0,0,0,0,3343463,31896,6142,0.990000009536743,0,0,0,0,0,0,100,338150.1,17.3,411.2,149414.9,188306.7,0,17.3,411.2,149414.9,188306.7,0.0551567218901734,0.00195705182441634,0.000401397908072086,1.34290223762617e-05,0,0,0,0,-2319.66013093479,-3.68663622263014e-06,1.11022302462516e-16,0
"16",16,"BST-Cassandra",2017-09-27 19:30:00,2017-09-27 19:40:00,3334210,0.000198193542018649,0,59705.643008,66.7498016357422,8.88326377868652,1.8252001285553,0,0.167025449872017,2.66132776737213,0.865423947572708,6.47447319030762,1079471.00961538,0,0,0,0,0,3299120,29282,5808,0.990000009536743,0,0,0,0,0,0,100,333421,37.4,311.1,147670.1,185402.4,0,37.4,311.1,147670.1,185402.4,0.0830972798342246,0.00202610485020894,0.000404896474234798,1.37680345497146e-05,0,0,0,0,-29232.5245980243,-8.00707204562183e-07,1.11022302462516e-16,0
"17",17,"BST-Cassandra",2017-09-27 19:40:00,2017-09-27 19:50:00,3343174,0.00019579422477801,0,59671.957504,66.7508926391602,8.18758192062378,1.89553155899048,0,0.192820003628731,2.56222820281982,0.980414074659347,6.74841642379761,1067780.01442308,0,0,0,0,0,3304472,32763,5939,0.990000009536743,0,0,0,0,0,0,100,334317.4,12.7,357,147969.1,185978.6,0,12.7,357,147969.1,185978.6,0.068713373480315,0.00206617307170868,0.000413471834741172,1.43353981103202e-05,0,0,0,0,-8997.93373275129,-2.98245948190256e-07,1.11022302462516e-16,0
