"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","event_count.kernel","event_count.sessions","event_count.services","apdex_s","apdex_t","apdex_f","apdex_score","cpm.db","duration.db","cpm.external","duration.external","length","error_pct","bg_pct","cpm.Other","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.x","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.x","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.x","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.y","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.y","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.y","duration.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch","duration.OtherTransaction/ProducerEventHandler/big.producer/onEvent","duration.OtherTransaction/ProducerEventHandler/small.producer/onEvent","queue_duration","deploys"
"1","Dirac-Browser",2017-09-27 17:00:00,2017-09-27 17:10:00,7537941,0.000241362183044415,4294.9632,66360.225792,59.0664520263672,19.837805557251,1.00096321105957,0,6.30438909865916e-05,1.88906110922496,0.000190658116601602,0.106253898143768,4175231.63666667,0,0,0,0,0,6265605,1172514,99822,0.910000026226044,0,0,42.7,0.0340305773297872,0,0,100,753794.1,17.7,0,11.8,246355.4,245597.4,9.2,261802.6,17.7,0,11.8,246355.4,245597.4,9.2,261802.6,0.0251812572542373,0,0.0693280964237288,7.60974975945321e-05,0.000242463838480375,0.00425114589130435,0.00039090131811105,0,0
"2","Dirac-Browser",2017-09-27 17:10:00,2017-09-27 17:20:00,7426865,0.000243022585030023,4294.9632,66366.992384,59.112377166748,19.2233754475911,1.00092833439509,0,3.93440352733402e-05,1.72881105740865,0,0.105515978733699,4077795.54333333,0,0,0,0,0,6150336,1180000,96529,0.910000026226044,0,0,49.5,0.0383811542246696,0,0,100,742686.5,18.2,0,21,242793.7,241545.3,3,258305.3,18.2,0,21,242793.7,241545.3,3,258305.3,0.00307412986263736,0,0.0774168507380952,7.70033273812294e-05,0.00024319412457125,0.00348754,0.000392400414946577,0,0
"3","Dirac-Browser",2017-09-27 17:20:00,2017-09-27 17:30:00,7417299,0.000243944149938947,4294.9632,66347.610112,59.1112899780273,19.4475800832113,1.00751674969991,0,5.01388863388759e-05,1.65852839549383,0,0.107821990052859,4063557.85333333,0,0,0,0,0,6124721,1194299,98279,0.910000026226044,0,0,34.7,0.0303303776570605,0,0,100,741729.9,18.8,0,13.4,241311.4,240996.1,0,259390.2,18.8,0,13.4,241311.4,240996.1,0,259390.2,0.00317877153723404,0,0.0767787619402985,7.74708892737765e-05,0.000248037124134789,0,0.000390845472586474,0,0
"4","Dirac-Browser",2017-09-27 17:30:00,2017-09-27 17:40:00,7362737,0.000246068337210605,4294.9632,66341.691392,59.110237121582,19.5780605316162,0.995302172501882,0,4.37296536498858e-05,1.64462221860886,2.85893484639625e-05,0.107799475391706,4195795.54333333,0,0,0,0,0,6079366,1186774,96597,0.910000026226044,0,0,42.9,0.0313304333193473,0,0,100,736273.7,16.6,2.6,15.4,239706,239895.7,2.8,256634.6,16.6,2.6,15.4,239706,239895.7,2.8,256634.6,0.00299470127108434,0.46780282,0.0754445156818182,7.84395394796125e-05,0.00024831990117747,0.001767531,0.000391091249278546,0,1
"5","Dirac-Browser",2017-09-27 17:40:00,2017-09-27 17:50:00,7410705,0.000247214487446201,4294.9632,66353.893376,59.109001159668,19.7563065846761,0.997655363877614,0,4.42051539721433e-05,1.79894445737203,0,0.107622234523296,4227644.85,0,0,0,0,0,6104051,1205916,100738,0.910000026226044,0,0,33.5,0.0442320880190476,0,0,100,741070.5,8.3,0,18.8,241503.8,241205.6,2.1,258331.9,8.3,0,18.8,241503.8,241205.6,2.1,258331.9,0.00345599328915663,0,0.0714795844680851,7.8315305110313e-05,0.000249968895111888,0.00099356,0.0003972464697608,0,1
"6","Dirac-Browser",2017-09-27 17:50:00,2017-09-27 18:00:00,7372867,0.000246646320166633,4294.9632,66342.33856,59.10791015625,19.7496964136759,1.00441038608551,0,3.83635488105938e-05,1.98726715246836,0,0.107073201735814,4209770.88666667,0,0,0,0,0,6076236,1195921,100710,0.910000026226044,0,0,61.4,0.0272058039928699,0,0.000718851974408327,100,737286.7,21.2,0,19.6,241036.4,238780.3,0,257429.2,21.2,0,19.6,241036.4,238780.3,0,257429.2,0.00305204663679245,0,0.0735414347959184,7.83115346321136e-05,0.000249914031173426,0,0.000395419238486155,0,0
"7","Dirac-Browser",2017-09-27 18:00:00,2017-09-27 18:10:00,7322500,0.000244043088254148,4294.9632,66345.684992,59.1068725585938,19.3604995091756,0.998038200537364,0,0.000134652433189331,1.65200670560201,0.00152947390452027,0.107040817538897,4088162.38666667,0,0,0,0,0,6055776,1171917,94807,0.910000026226044,0,0,37.4,0.0425214504144385,0,0,100,732250,15.7,0,21.7,238206.3,239308.2,2.1,254696,15.7,0,21.7,238206.3,239308.2,2.1,254696,0.00291291995541401,0,0.0726738258248848,7.67888158012613e-05,0.000245369302669528,0.005831274,0.000392841210637387,0,0
"8","Dirac-Browser",2017-09-27 18:10:00,2017-09-27 18:20:00,7380689,0.000242561751129197,4294.9632,66332.8768,59.1058502197266,19.1927829742432,0.998195219039917,0,4.12124616559595e-05,1.48676392237345,0,0.106882467865944,4083687.90666667,0,0,0,0,0,6111942,1173028,95719,0.910000026226044,0,0,37,0.0270847926916427,0,0.00031162402317724,100,738068.9,16.3,0,11.5,241492.5,239268.7,3,257276.9,16.3,0,11.5,241492.5,239268.7,3,257276.9,0.00273664309202454,0,0.0755101160782609,7.67223679298529e-05,0.000245051447203918,0.003766178,0.000392347680820937,0,0
"9","Dirac-Browser",2017-09-27 18:20:00,2017-09-27 18:30:00,7424434,0.000246033898737331,4294.9632,66306.347008,59.1049499511719,19.2481510162354,1.00596857070923,0,4.96152228151914e-05,1.61631668011347,0,0.108062422275543,4075875.73333333,0,0,0,0,0,6110430,1216637,97367,0.899999976158142,0,0,55.3,0.0313660705316456,0,0,100,742443.4,21.1,0,23.7,242204.8,241204.3,0,258989.5,21.1,0,23.7,242204.8,241204.3,0,258989.5,0.00312021264454976,0,0.0715065776329114,7.7692712726998e-05,0.000248732558024463,0,0.000394196642814091,0,0
"10","Dirac-Browser",2017-09-27 18:30:00,2017-09-27 18:40:00,7416445,0.000246524163670734,4294.9632,66333.110272,59.1039772033691,19.3608605702718,0.996464459101359,0,4.6730938872012e-05,1.68651215235392,3.12614332263668e-05,0.106762729088465,4159297.55,0,0,0,0,0,6102724,1214684,99037,0.899999976158142,0,0,34.4,0.0349612097420382,0,0,100,741644.5,9.4,0,14.5,240286.8,241618.7,4.8,259710.3,9.4,0,14.5,240286.8,241618.7,4.8,259710.3,0.00301462670212766,0,0.0712943136689655,7.79370514693275e-05,0.000249594462360322,0.000795371666666667,0.000395569344221619,0,0
